player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
Quentin Grimes,17895858,PHI,NYK,False,21708671,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,1.367137,1,1,0.338533853385,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Tyrese Maxey,3547254,PHI,NYK,False,21708671,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,22.65011,23,22,0.009313038254,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Tyrese Maxey,3547254,PHI,NYK,False,21708671,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,3.622872,3,3,0.055177248147,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Tyrese Maxey,3547254,PHI,NYK,False,21708671,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,4.820022,5,4,0.040384808097,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Tyrese Maxey,3547254,PHI,NYK,False,21708671,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.3953,2,1,0.1128,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Mikal Bridges,61,NYK,PHI,True,21708671,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,1.992089,2,1,0.227318245544,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Mikal Bridges,61,NYK,PHI,True,21708671,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,1.27,1,0,0.3851,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Mikal Bridges,61,NYK,PHI,True,21708671,,stl,,,,,,predict.py:raw,phase8_role_aware_pmf_cal_v2,rotation,0.674733,0,0,0.618438156184,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Mikal Bridges,61,NYK,PHI,True,21708671,,blk,,,,,,predict.py:raw,phase8_role_aware_pmf_cal_v2,rotation,0.5779,0,0,0.6365,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Karl-Anthony Towns,447,NYK,PHI,True,21708671,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,16.767784,17,17,0.012406203102,,,,,pre_close,2026-05-04T21:01:50Z,85e1bba#phase10c,7d81ccc7-2efe-4d5f-8cd2-64a5716e40f1,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
