stat,role_bucket,book,line,player_id,market_logloss,market_brier,market_no_vig_over_prob,actual_outcome,is_push
blk,starter,hardrockbet_az,0.5,175,0.5434429286898216,0.1757744685776011,0.5807453416149069,1,False
stocks,starter,draftkings,1.5,175,0.546270227953704,0.1771519952050733,0.5791057196812086,6,False
stocks,starter,fliff,1.5,175,0.5389965007326869,0.173611111111111,0.5833333333333334,6,False
stocks,starter,betparx,2.5,175,0.975816711188182,0.3882730234084998,0.3768844221105528,6,False
stocks,starter,hardrockbet_fl,1.5,175,0.5434429286898216,0.1757744685776011,0.5807453416149069,6,False
stocks,starter,hardrockbet,1.5,175,0.5434429286898216,0.1757744685776011,0.5807453416149069,6,False
stocks,starter,hardrockbet_az,1.5,175,0.5434429286898216,0.1757744685776011,0.5807453416149069,6,False
pa,starter,bovada,37.5,175,0.6731064296764994,0.2399809864118409,0.4898785425101215,36,False
pa,starter,bovada,36.5,175,0.756326082181477,0.2815493544356518,0.5306122448979592,36,False
pa,starter,bovada,35.5,175,0.5739095991925676,0.1906904902652504,0.5633187772925764,36,False
pa,starter,betmgm,36.5,175,0.7096901550137025,0.258270741964291,0.5082034454470877,36,False
pa,starter,fanduel,37.5,175,0.6651744464549,0.2360173584786076,0.485816177662506,36,False
pa,starter,draftkings,37.5,175,0.6629989910739308,0.2349305770062766,0.4846963761018609,36,False
pa,starter,fliff,37.5,175,0.674367285908349,0.2406111722557894,0.490521327014218,36,False
pa,starter,espnbet,37.5,175,0.6731064296764994,0.2399809864118409,0.4898785425101215,36,False
pa,starter,hardrockbet_az,37.5,175,0.6731064296764994,0.2399809864118409,0.4898785425101215,36,False
pa,starter,hardrockbet_fl,37.5,175,0.6731064296764994,0.2399809864118409,0.4898785425101215,36,False
pa,starter,hardrockbet,37.5,175,0.6731064296764994,0.2399809864118409,0.4898785425101215,36,False
pr,starter,bovada,33.5,175,0.8560506514967983,0.3308129351958648,0.5751633986928104,27,False
pr,starter,bovada,34.5,175,0.756326082181477,0.2815493544356518,0.5306122448979592,27,False
pr,starter,bovada,35.5,175,0.6731064296764994,0.2399809864118409,0.4898785425101215,27,False
pr,starter,betmgm,34.5,175,0.6768734284120744,0.2418638510701156,0.4917965545529122,27,False
pr,starter,fanduel,34.5,175,0.7313878838346934,0.2691112940161926,0.5187593796898449,27,False
pr,starter,draftkings,34.5,175,0.7303507767272996,0.2685934511534496,0.5182600227235838,27,False
pr,starter,fliff,34.5,175,0.7122865207706429,0.2595685182273535,0.5094786729857821,27,False
pr,starter,espnbet,34.5,175,0.7135977910312362,0.260223901391598,0.5101214574898786,27,False
pr,starter,hardrockbet_az,34.5,175,0.7135977910312362,0.260223901391598,0.5101214574898786,27,False
pr,starter,hardrockbet_fl,34.5,175,0.7135977910312362,0.260223901391598,0.5101214574898786,27,False
pr,starter,hardrockbet,34.5,175,0.7135977910312362,0.260223901391598,0.5101214574898786,27,False
ra,starter,fanduel,10.5,175,0.6931471805599453,0.25,0.5,15,False
ra,starter,bovada,9.5,175,0.4958491695764334,0.1528391674710833,0.6090534979423868,15,False
ra,starter,bovada,10.5,175,0.6731064296764991,0.2399809864118408,0.5101214574898786,15,False
ra,starter,bovada,11.5,175,0.8758617418785103,0.3404688109124173,0.4165029469548134,15,False
ra,starter,betmgm,10.5,175,0.713597791031236,0.2602239013915979,0.4898785425101215,15,False
ra,starter,draftkings,10.5,175,0.6870577694646135,0.2469553322581998,0.5030539946249695,15,False
ra,starter,hardrockbet_fl,10.5,175,0.6731064296764991,0.2399809864118408,0.5101214574898786,15,False
ra,starter,espnbet,10.5,175,0.6931471805599453,0.25,0.5,15,False
ra,starter,fliff,10.5,175,0.6743672859083488,0.2406111722557893,0.5094786729857821,15,False
ra,starter,hardrockbet_az,10.5,175,0.6731064296764991,0.2399809864118408,0.5101214574898786,15,False
ra,starter,hardrockbet,10.5,175,0.6731064296764991,0.2399809864118408,0.5101214574898786,15,False
pra,starter,fanduel,41.5,175,0.6848707004578384,0.245861855027736,0.4958445875753168,39,False
pra,starter,bovada,41.5,175,0.7346038942382915,0.2707168440310238,0.5203045685279188,39,False
pra,starter,bovada,40.5,175,0.807750563298949,0.3070712807821818,0.554140127388535,39,False
