bucket_dimension,bucket_value,n,thin_sample,mean_AE,variance_AE,std_residual_mean,std_residual_sd,pmf_nll_mean,pmf_rps_mean,brier_over_model_mean,brier_over_market_mean,logloss_over_model_mean,logloss_over_market_mean,coverage_10,coverage_25,coverage_50,coverage_75,coverage_90,sum_actual,sum_expected_mean,sum_expected_variance,sum_sq_residual
side,OVER,70,False,0.7538341096760726,0.9033689730892218,-0.41441862648094807,0.9671644415904371,2.1577695862723005,0.12969485030538008,0.28541417700000005,0.23559122700000001,0.7794362983289866,0.6713229809832207,0.38571428571428573,0.5714285714285714,0.7142857142857143,0.9142857142857143,0.9714285714285714,243.0,322.35208898204235,849.6923859198757,767.5857381101689
side,UNDER,321,False,1.1108646068443389,0.775954643649064,0.22265150009660278,0.9533755225620587,2.267245547822256,0.11280438733216247,0.2560596934579439,0.25003999937694704,0.7099083016972559,0.6936883714779679,0.1588785046728972,0.2616822429906542,0.5109034267912772,0.7601246105919003,0.9283489096573209,2026.0,1823.804618058099,5368.15981792461,4165.448538568915
snapshot_type,morning,391,False,1.0572387340388005,0.793366280663442,0.10859802475023815,0.9854361661916363,2.2476462708184277,0.11582825538363364,0.2613149718414322,0.2474532626342711,0.7223557691249316,0.689684337374049,0.19948849104859334,0.3171355498721228,0.5473145780051151,0.7877237851662404,0.9360613810741688,2269.0,2146.1567070401416,6217.852203844486,4933.034276679085
stat,ast,63,False,1.0276395046094866,0.5591578305795429,0.05182802972947761,0.7670648259708722,2.040305113563616,0.08063600922141287,0.23148120349206353,0.24427391841269838,0.654920159813416,0.6816495269671311,0.09523809523809523,0.20634920634920634,0.5396825396825397,0.8571428571428571,0.9682539682539683,239.0,232.57182983717857,358.671877286948,200.5541887936619
stat,blk,36,False,1.31286420712645,0.9878506822457227,0.34206490150765256,0.9843717046769224,1.3264672405993982,0.11695112369762388,0.3248502955555555,0.26602251833333335,0.8654825709766738,0.7286554553163429,0.4166666666666667,0.4166666666666667,0.4722222222222222,0.8055555555555556,0.9444444444444444,36.0,27.42096235435918,35.29421150388546,34.86541091343808
stat,fg3m,69,False,0.9275192049614549,1.1864213398928396,-0.07557936021258663,1.192573301971696,1.7799585863625207,0.17066621470289856,0.269181033768116,0.23995920999999998,0.7386489056998008,0.6729119454910455,0.3333333333333333,0.463768115942029,0.7101449275362319,0.8695652173913043,0.8985507246376812,96.0,103.50189999999999,88.839577632277,105.40117073000002
stat,pts,84,False,1.0626274219593268,0.7863348162060785,0.12708928829530788,0.9362592770276638,3.3191073973451495,0.1061752445927846,0.26038302714285716,0.24914456773809526,0.7164246076111911,0.6914406969710604,0.07142857142857142,0.2261904761904762,0.47619047619047616,0.7261904761904762,0.9404761904761905,1313.0,1235.6165226557239,4765.1023666011115,3746.9658936444343
stat,reb,92,False,1.0512772983622523,0.8662589521502058,0.12388582413694907,0.9862935400690651,2.463015061108884,0.10325885999250044,0.24903546489130432,0.24551437695652178,0.6931589247749629,0.6841304922150729,0.10869565217391304,0.2717391304347826,0.5217391304347826,0.7391304347826086,0.9130434782608695,533.0,507.00229219287985,912.2767769106075,790.2679248375499
stat,stl,47,False,1.2985975146841415,0.9533929666759928,0.2132830886675287,0.9919966518507385,1.581236162040326,0.12349009236879431,0.2667935989361702,0.24926609170212766,0.7469510743089334,0.7029598139297366,0.3829787234042553,0.425531914893617,0.5531914893617021,0.7659574468085106,0.9787234042553191,52.0,40.043199999999985,57.66739390965599,54.979687760000004
vacated_opportunity_bucket,unavailable,391,False,1.0572387340388005,0.793366280663442,0.10859802475023815,0.9854361661916363,2.2476462708184277,0.11582825538363364,0.2613149718414322,0.2474532626342711,0.7223557691249316,0.689684337374049,0.19948849104859334,0.3171355498721228,0.5473145780051151,0.7877237851662404,0.9360613810741688,2269.0,2146.1567070401416,6217.852203844486,4933.034276679085
