stat,role_bucket,n,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,before_mean_pass,before_variance_pass,before_p0_pass,before_pit_pass,before_internal_pass,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,after_mean_pass,after_variance_pass,after_p0_pass,after_pit_pass,after_internal_pass,mean_ae_abs_error_delta,variance_ae_abs_error_delta,p0_abs_error_delta,pit_ks_delta,nll_delta,rps_delta
fg3m,fringe,1296,1296.0,0.9388651444266163,2.524198489677516,0.03861509974762933,0.2812448409691357,3.6131924670337288,0.021974341514755424,False,False,False,False,False,1296.0,0.9388651444266163,2.5241984896775165,0.03861509974762933,0.2812448409691357,3.6131924670337288,0.021974341514755424,False,False,False,False,False,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0
fg3m,inactive_risk,1237,1237.0,1.0127434044615071,2.126465526909004,0.008844123836708406,0.22109943411479382,3.6659019151396603,0.030777600097885657,True,False,True,False,False,1237.0,1.0127434044615071,2.126465526909004,0.008844123836708406,0.22109943411479382,3.6659019151396603,0.030777600097885657,True,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
fg3m,starter,3369,3369.0,1.0154329206610309,1.89806180085273,0.07257925486613334,0.08091171804217911,2.4602285500217325,0.05094461841881981,True,False,False,False,False,3369.0,1.0154329206610309,1.89806180085273,0.07257925486613334,0.08091171804217911,2.4602285500217325,0.05094461841881981,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
pts,bench,3286,3286.0,1.0627745463804845,0.9835872863428642,0.04260790236527165,0.05942432542097789,2.712569466182693,0.031805527465152736,False,True,False,True,False,3286.0,1.0627745463804845,0.9835872863428642,0.04260790236527165,0.05942432542097789,2.712569466182693,0.031805527465152736,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0
pts,core,5248,5248.0,1.0684094185700685,0.8602180179298088,-0.0031498500522826704,0.07835365853658532,3.2760336394968133,0.04466158680113074,False,False,True,True,False,5248.0,1.0684094185700685,0.8602180179298088,-0.0031498500522826704,0.07835365853658532,3.2760336394968133,0.04466158680113075,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18
pts,fringe,1296,1296.0,0.9942903179443626,0.907825083938997,0.10292270626066746,0.18181481481481482,2.2380656022596437,0.023860970054081942,True,True,False,False,False,1296.0,0.9942903179443626,0.907825083938997,0.10292270626066746,0.18181481481481482,2.2380656022596437,0.023860970054081942,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
pts,inactive_risk,1237,1237.0,1.1427966639636835,0.8235687051053948,-0.0020842296900293045,0.10856985375174544,3.012133244148793,0.03316688234770958,False,False,True,False,False,1237.0,1.1427966639636835,0.8235687051053947,-0.0020842296900293045,0.10856985375174544,3.012133244148793,0.033166882347709585,False,False,True,False,False,0.0,1.1102230246251565e-16,0.0,0.0,0.0,6.938893903907228e-18
pts,rotation,4772,4772.0,1.0833114927202212,0.9203589592370659,0.011662379657644814,0.07328541492036883,3.02948850925511,0.03740645049711579,False,True,True,True,False,4772.0,1.0833114927202212,0.9203589592370659,0.011662379657644814,0.07328541492036883,3.02948850925511,0.03740645049711579,False,True,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0
pts,starter,3369,3369.0,1.047506216769778,0.7332883404010296,-0.006277118567905356,0.07065657465123176,3.4672146883541415,0.05152628380082274,False,False,True,True,False,3369.0,1.047506216769778,0.7332883404010296,-0.006277118567905356,0.07065657465123176,3.4672146883541415,0.05152628380082274,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0
reb,bench,3286,3286.0,1.0669392895069552,0.8052059529713554,-0.0740574575351041,0.08583026342484329,2.058392161008844,0.040010893031064136,False,False,False,False,False,3286.0,1.0669392895069552,0.8052059529713554,-0.0740574575351041,0.08583026342484329,2.058392161008844,0.040010893031064136,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
