stat,role_bucket,held_date,reason,raw_ll,new_ll,raw_br,new_br,n_val,method,mean_delta_logloss,mean_delta_brier,worst_fold_delta_logloss,worst_fold_delta_brier,frac_folds_logloss_improved,frac_folds_brier_nonworse,n_folds
pra,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pra,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pra,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pra,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pra,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pra,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pra,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pra,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pra,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pra,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pts,bench,2026-05-12,small_fold,,,,,,,,,,,,,
pts,bench,2026-05-12,small_fold,,,,,,,,,,,,,
pts,bench,2026-05-12,small_fold,,,,,,,,,,,,,
pts,bench,2026-05-12,small_fold,,,,,,,,,,,,,
pts,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pts,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pts,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pts,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pts,rotation,2026-04-27,rollback_fold_guard_failed,0.8230183611396861,0.7291285459866877,0.3035476751515152,0.26554504771373866,275.0,market_residual,,,,,,,
pts,rotation,2026-04-28,rollback_fold_guard_failed,0.665899204501741,0.6797725832788157,0.2371456860398861,0.2435075387056046,195.0,market_residual,,,,,,,
pts,rotation,2026-04-29,rollback_fold_guard_failed,0.7051565950624986,0.673677062127704,0.2561692328675981,0.24122283418536636,167.0,market_residual,,,,,,,
pts,rotation,2026-04-30,rollback_fold_guard_failed,0.6501497943840965,0.6752983713174238,0.22819818253968258,0.24146721949917732,224.0,market_residual,,,,,,,
pts,rotation,2026-05-01,rollback_fold_guard_failed,0.6375545564707947,0.6738878517236551,0.22388847138047138,0.24054996378537205,165.0,market_residual,,,,,,,
pts,rotation,2026-05-02,rollback_fold_guard_failed,0.8824522219183795,0.7564252107314452,0.3404451288244766,0.2810563890463642,69.0,market_residual,,,,,,,
pts,rotation,2026-05-03,rollback_fold_guard_failed,0.6076312958533571,0.6479407834816586,0.21065520820820816,0.22837166382735544,111.0,market_residual,,,,,,,
pts,rotation,2026-05-04,rollback_fold_guard_failed,0.7970688846613767,0.6992571630609773,0.3005741821821823,0.25351635695826485,111.0,market_residual,,,,,,,
pts,rotation,2026-05-05,rollback_fold_guard_failed,0.6151659842168773,0.6339834611566327,0.21381262448009505,0.22132000932823526,187.0,market_residual,,,,,,,
pts,rotation,2026-05-06,rollback_fold_guard_failed,0.5263840730680536,0.5642710136432533,0.17054861693121692,0.18789108239454722,105.0,market_residual,,,,,,,
pts,rotation,2026-05-07,rollback_fold_guard_failed,0.7038478002305601,0.6805023758876272,0.2558177333333333,0.2437579172401218,60.0,market_residual,,,,,,,
pts,rotation,2026-05-08,rollback_fold_guard_failed,0.579259044493472,0.6593902369051197,0.1947783806921675,0.23384161962764785,122.0,market_residual,,,,,,,
pts,rotation,2026-05-09,rollback_fold_guard_failed,0.6467982314990854,0.6720873505871061,0.22773916758747695,0.23967388564391284,181.0,market_residual,,,,,,,
pts,rotation,2026-05-10,rollback_fold_guard_failed,0.8419606843410553,0.7449052887480815,0.3133007791005291,0.2735962592799469,84.0,market_residual,,,,,,,
pts,rotation,2026-05-11,rollback_fold_guard_failed,0.5817011379717347,0.6577231267353404,0.2001060598639456,0.2330937225556471,245.0,market_residual,,,,,,,
pts,rotation,2026-05-12,rollback_fold_guard_failed,0.47905766738938155,0.6098447946253329,0.1480331728395062,0.20873337663194896,18.0,market_residual,,,,,,,
pts,rotation,,fold_guard_summary,,,,,,market_residual,0.0006272965612582958,0.0008309775572292754,0.13078712723595137,0.06070020379244276,0.375,0.375,16.0
pts,rotation,2026-04-27,rollback_fold_guard_failed,0.8230183611396861,0.7975479625120866,0.3035476751515152,0.29291259888531385,275.0,platt,,,,,,,
pts,rotation,2026-04-28,rollback_fold_guard_failed,0.665899204501741,0.6506080541676533,0.2371456860398861,0.2292221342455446,195.0,platt,,,,,,,
pts,rotation,2026-04-29,rollback_fold_guard_failed,0.7051565950624986,0.6757446821924588,0.2561692328675981,0.24179478248259798,167.0,platt,,,,,,,
pts,rotation,2026-04-30,rollback_fold_guard_failed,0.6501497943840965,0.7049341405680816,0.22819818253968258,0.2557630794691686,224.0,platt,,,,,,,
pts,rotation,2026-05-01,rollback_fold_guard_failed,0.6375545564707947,0.6701287600955654,0.22388847138047138,0.23896191643285458,165.0,platt,,,,,,,
pts,rotation,2026-05-02,rollback_fold_guard_failed,0.8824522219183795,0.8307917686209642,0.3404451288244766,0.3172553081200787,69.0,platt,,,,,,,
pts,rotation,2026-05-03,rollback_fold_guard_failed,0.6076312958533571,0.6035791815126984,0.21065520820820816,0.20664189032732727,111.0,platt,,,,,,,
