stat,role_bucket,n,raw_nll,calibrated_nll,delta_nll_cal_minus_raw,raw_rps,calibrated_rps,delta_rps_cal_minus_raw,raw_mean,calibrated_mean,actual_mean,raw_mean_bias,calibrated_mean_bias,raw_p0,calibrated_p0,actual_p0,raw_p0_error,calibrated_p0_error,pit_mean,pit_std,pit_ks,ece,nll_threshold,caveats,status
fg3m,bench,1379,2.3698470391357755,2.3342082201237475,-0.035638819012028033,0.5087010532870962,0.49753993222666665,-0.011161121060429602,0.7920361825960841,0.7775509128863737,0.7353154459753445,0.05672073662073962,0.042235466911029196,0.49393777842457554,0.5273655749907343,0.5736040609137056,-0.0796662824891301,-0.046238485922971306,0.4851611092457216,0.32327546219870607,0.07765281302284494,0.15169818528874637,0.005,,PASS
fg3m,rotation,1940,2.020894763305757,1.9848674443529704,-0.03602731895278666,0.6018943210086045,0.5923504382190019,-0.009543882789602609,1.1626110647422683,1.1809694986175483,1.0762886597938144,0.08632240494845389,0.10468083882373391,0.3586602195195425,0.38280448600264616,0.44742268041237115,-0.08876246089282863,-0.064618194409725,0.4699195647806997,0.3169604416728016,0.07884090490869033,0.08240674722371676,0.005,,PASS
fg3m,core,2098,2.1755067687538516,2.120933999506746,-0.05457276924710541,0.7337073207552633,0.7225308063188125,-0.011176514436450846,1.568092364537655,1.5996643314509191,1.5676835081029552,0.00040885643469978916,0.03198082334796393,0.2492376302834754,0.2773270248572112,0.3260247855100095,-0.07678715522653412,-0.048697760652798294,0.4754919983737676,0.314365412880972,0.0733223856420126,0.07016337096573111,0.005,,PASS
fg3m,starter,1336,2.1030998624737656,2.0429144933827437,-0.0601853690910219,0.790302539870846,0.7775000579093213,-0.01280248196152467,1.8392289607784431,1.860522486603296,1.847305389221557,-0.008076428443113848,0.013217097381739151,0.16585301648864484,0.19948044499898135,0.23877245508982037,-0.07291943860117553,-0.03929201009083902,0.4837201390147445,0.30511943221263965,0.04746754358649452,0.025019566379390797,0.003,,PASS
tov,inactive_risk,593,1.1307667398662167,1.1039253114401288,-0.026841428426087832,0.45041626414612757,0.4421425292028471,-0.008273734943280486,0.6409885306124766,0.6065612319967999,0.7757166947723441,-0.13472816415986744,-0.16915546277554416,0.7014316066794988,0.6791871171104932,0.5716694772344013,0.12976212944509746,0.10751763987609186,0.5478162224696677,0.2970085083173702,0.08444483242753964,0.10751763987609189,0.005,,PASS
tov,fringe,607,0.879358354768246,0.868488828513812,-0.010869526254433937,0.33109189318722054,0.3292140441173772,-0.0018778490698433403,0.4195681273222723,0.3717744735797603,0.42668863261943984,-0.0071205052971675675,-0.054914159039679555,0.7636654365402656,0.7403987617546991,0.7100494233937397,0.053616013146525976,0.030349338360959432,0.5087543806977257,0.29582909870475477,0.030228106347633288,0.03345360692865249,0.005,,PASS
tov,bench,1379,1.1323337626216878,1.0959941534503121,-0.036339609171375686,0.44094063597186783,0.43321543116399097,-0.007725204807876862,0.6524366350309756,0.6137786601857189,0.6671501087744742,-0.014713473743498628,-0.05337144858875531,0.6577159757875819,0.6253589850248586,0.5620014503263234,0.09571452546125847,0.06335753469853522,0.532447919979662,0.2828883717032374,0.06954850845059202,0.06335753469853518,0.005,,PASS
tov,rotation,1940,1.381872239464702,1.3314956449821638,-0.050376594482538284,0.5670978786855906,0.5515442873377676,-0.01555359134782297,1.0072534453624495,1.0020643784706653,1.0237113402061855,-0.016457894843735943,-0.021646961735520165,0.5257877590336354,0.4632477815588415,0.4077319587628866,0.1180558002707488,0.055515822795954906,0.5151697289708977,0.2785923367505977,0.04644983649958212,0.02101628295780579,0.005,,PASS
tov,core,2098,1.609443274783549,1.558253908698758,-0.05118936608479108,0.6908956029583379,0.6762289466583307,-0.014666656300007186,1.5106110948234552,1.413508101379335,1.507626310772164,0.0029847840512913226,-0.094118209392829,0.39557241157219863,0.3670949986049578,0.26644423260247857,0.12912817896972006,0.10065076600247924,0.5359895595389422,0.2663716751883935,0.09046746906317632,0.043592177226100585,0.005,,PASS
tov,starter,1336,1.854274622926841,1.783744476536031,-0.0705301463908099,0.8583712876830373,0.8291693267830029,-0.02920196090003435,2.2158748739357734,2.2757064307329746,2.254491017964072,-0.03861614402829838,0.02121541276890282,0.26515835361299755,0.20942980060796934,0.13622754491017963,0.12893080870281792,0.07320225569778971,0.5095281046450648,0.25857319321808026,0.06777416453882357,0.04401749034322021,0.003,,PASS
