stat,role_bucket,book,line,player_id,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,model_p_over,market_no_vig_over_prob,actual_outcome,is_push
reb,rotation,hardrockbet_fl,2.5,666682,1.3917692890100757,0.8754687373539001,0.5163005516561756,0.5645493511230513,0.34027777777777785,0.22427157334527342,0.7513649919466912,0.5833333333333334,2,False
fg3m,rotation,hardrockbet_fl,2.5,666682,9.999999722180686e-10,0.2643865098482588,-0.2643865088482588,0.0,0.053974084277114566,-0.053974084277114566,0.0,0.2323232323232323,2,False
pts,core,fanduel,16.5,667378,1.7464717212190848,0.534067954531538,1.212403766687547,0.681634928057044,0.17121768276726712,0.5104172452897768,0.1743881492753123,0.5862154150197628,18,False
pts,core,bovada,17.5,667378,1.9329001567481674,0.6533409301595255,1.279559226588642,0.7314904406773214,0.23010770697518612,0.5013827337021353,0.14472785578079217,0.5203045685279188,18,False
pts,core,draftkings,17.5,667378,1.9329001567481674,0.7346038942382914,1.198296262509876,0.7314904406773214,0.2707168440310238,0.4607735966462976,0.14472785578079217,0.4796954314720812,18,False
pts,core,hardrockbet,17.5,667378,1.9329001567481674,0.7810085363512795,1.1518916203968879,0.7314904406773214,0.29382478819110847,0.4376656524862129,0.14472785578079217,0.45794392523364486,18,False
pts,core,fliff,17.5,667378,1.9329001567481674,0.7649729151312009,1.1679272416169666,0.7314904406773214,0.2858543280070582,0.4456361126702632,0.14472785578079217,0.4653465346534653,18,False
pts,core,hardrockbet_fl,17.5,667378,1.9329001567481674,0.6621849549559784,1.270715201792189,0.7314904406773214,0.23452395079308572,0.49696648988423564,0.14472785578079217,0.5157232704402516,18,False
pts,core,hardrockbet_az,17.5,667378,1.9329001567481674,0.7810085363512795,1.1518916203968879,0.7314904406773214,0.29382478819110847,0.4376656524862129,0.14472785578079217,0.45794392523364486,18,False
reb,core,draftkings,9.5,667378,0.17776134732419788,0.5968160716215132,-0.4190547242973153,0.02652266762203178,0.20199469763918695,-0.17547203001715517,0.16285781412640837,0.449438202247191,9,False
reb,core,fanduel,9.5,667378,0.17776134732419788,0.612701815341206,-0.43494046801700814,0.02652266762203178,0.20986952112058332,-0.18334685349855154,0.16285781412640837,0.4581151832460733,9,False
reb,core,bovada,9.5,667378,0.17776134732419788,0.807750563298949,-0.6299892159747511,0.02652266762203178,0.3070712807821818,-0.28054861316015006,0.16285781412640837,0.554140127388535,9,False
reb,core,williamhill_us,9.5,667378,0.17776134732419788,0.7032446046934261,-0.5254832573692282,0.02652266762203178,0.2550485417745831,-0.2285258741525513,0.16285781412640837,0.5050233081498151,9,False
reb,core,hardrockbet,9.5,667378,0.17776134732419788,0.5785273394893223,-0.40076599216512443,0.02652266762203178,0.19296383096635483,-0.16644116334432305,0.16285781412640837,0.4392764857881137,9,False
reb,core,espnbet,9.5,667378,0.17776134732419788,0.6533409301595255,-0.47557958283532764,0.02652266762203178,0.23010770697518615,-0.20358503935315436,0.16285781412640837,0.4796954314720812,9,False
reb,core,fliff,9.5,667378,0.17776134732419788,0.5531011069142289,-0.37533975959003096,0.02652266762203178,0.18048613781024386,-0.15396347018821208,0.16285781412640837,0.4248366013071895,9,False
reb,core,hardrockbet_fl,9.5,667378,0.17776134732419788,0.9134797672685049,-0.735718419944307,0.02652266762203178,0.35865010664898345,-0.3321274390269517,0.16285781412640837,0.5988740323715693,9,False
reb,core,hardrockbet_az,9.5,667378,0.17776134732419788,0.5785273394893223,-0.40076599216512443,0.02652266762203178,0.19296383096635483,-0.16644116334432305,0.16285781412640837,0.4392764857881137,9,False
fg3m,core,draftkings,3.5,667378,2.3268343019398134,0.9552443153343825,1.3715899866054309,0.8143181002773318,0.37857176659410685,0.4357463336832249,0.09760424409390545,0.3847181405289875,4,False
fg3m,core,fanduel,3.5,667378,2.3268343019398134,1.184162484692478,1.1426718172473354,0.8143181002773318,0.4816327328419472,0.33268536743538457,0.09760424409390545,0.3060023538642605,4,False
fg3m,core,bovada,3.5,667378,2.3268343019398134,0.9391845517400076,1.387649750199806,0.8143181002773318,0.370946163355857,0.44337193692147475,0.09760424409390545,0.39094650205761317,4,False
fg3m,core,hardrockbet_fl,3.5,667378,2.3268343019398134,0.9134797672685049,1.4133545346713086,0.8143181002773318,0.35865010664898345,0.4556679936283483,0.09760424409390545,0.40112596762843067,4,False
fg3m,core,fliff,3.5,667378,2.3268343019398134,1.025145136786237,1.3016891651535765,0.8143181002773318,0.41120875143276553,0.40310934884456623,0.09760424409390545,0.3587443946188341,4,False
fg3m,core,hardrockbet,3.5,667378,2.3268343019398134,1.017179726705519,1.3096545752342945,0.8143181002773318,0.407537512500943,0.40678058777638876,0.09760424409390545,0.3616133518776078,4,False
fg3m,core,hardrockbet_az,3.5,667378,2.3268343019398134,1.017179726705519,1.3096545752342945,0.8143181002773318,0.407537512500943,0.40678058777638876,0.09760424409390545,0.3616133518776078,4,False
pts,core,williamhill_us,34.5,3547238,0.024337241467583866,0.6831506960197659,-0.658813454552182,0.0005780888707143546,0.2450019254749529,-0.24442383660423853,0.024043478756501827,0.4949766918501849,32,False
pts,core,bovada,32.5,3547238,0.03999259531357778,0.6731064296764994,-0.6331138343629216,0.0015369102156610713,0.23998098641184096,-0.23844407619617988,0.03920344647682231,0.48987854251012153,32,False
pts,core,draftkings,33.5,3547238,0.031085578999905005,0.7346038942382915,-0.7035183152383865,0.0009368123301994125,0.2707168440310238,-0.2697800317008244,0.03060739012394576,0.5203045685279188,32,False
pts,core,hardrockbet,34.5,3547238,0.024337241467583866,0.674367285908349,-0.6500300444407652,0.0005780888707143546,0.24061117225578943,-0.24003308338507506,0.024043478756501827,0.490521327014218,32,False
pts,core,espnbet,33.5,3547238,0.031085578999905005,0.6407791950426294,-0.6096936160427243,0.0009368123301994125,0.22384090646317495,-0.22290409413297554,0.03060739012394576,0.4731182795698925,32,False
pts,core,hardrockbet_fl,33.5,3547238,0.031085578999905005,0.6731064296764994,-0.6420208506765943,0.0009368123301994125,0.23998098641184096,-0.23904417408164155,0.03060739012394576,0.48987854251012153,32,False
pts,core,hardrockbet_az,34.5,3547238,0.024337241467583866,0.674367285908349,-0.6500300444407652,0.0005780888707143546,0.24061117225578943,-0.24003308338507506,0.024043478756501827,0.490521327014218,32,False
