date,step,rc,tail,quota_lines
2026-05-08,fetch_hist_lockday,0,"========================================================================
HISTORICAL LOCK DAY — target 2026-05-08
  events list snapshot: 2026-05-08T11:00:00Z
  lock offset:          T-5 min
========================================================================
  [quota] used=30399 remaining=4969601 last_cost=1
  events at list-snapshot: 4 (after commence window filter)
  selecting first 4 of 4 events
  → event 30d614c5d781b768faf9cf885e890851 New York Knicks @ Philadelphia 76ers  commence=2026-05-08T23:10:00Z  lock_snap=2026-05-08T23:05:00Z
  [quota] used=30839 remaining=4969161 last_cost=440
    quotes: 7639  pairs: 2015
  → event 1b5c084f510006e8f30cd6cac40e231d San Antonio Spurs @ Minnesota Timberwolves  commence=2026-05-09T01:40:00Z  lock_snap=2026-05-09T01:35:00Z
  [quota] used=31259 remaining=4968741 last_cost=420
    quotes: 9454  pairs: 2557
  → event 2734c350b90f332dbece882dd10b204e Detroit Pistons @ Cleveland Cavaliers  commence=2026-05-09T19:10:00Z  lock_snap=2026-05-09T19:05:00Z
  [quota] used=31699 remaining=4968301 last_cost=440
    quotes: 8656  pairs: 2360
  → event 40c8a29efb894c4dd6bf6acc5025c9cb Oklahoma City Thunder @ Los Angeles Lakers  commence=2026-05-10T00:40:00Z  lock_snap=2026-05-10T00:35:00Z
  [quota] used=32139 remaining=4967861 last_cost=440
    quotes: 8874  pairs: 2388

LOCK-DAY summary:
  events captured:       4
  total raw quote rows:  34623
  total paired rows:     9320
","  [quota] used=30399 remaining=4969601 last_cost=1
  [quota] used=30839 remaining=4969161 last_cost=440
  [quota] used=31259 remaining=4968741 last_cost=420
  [quota] used=31699 remaining=4968301 last_cost=440
  [quota] used=32139 remaining=4967861 last_cost=440"
2026-05-08,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70, ""fg3m"": 68}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-08_2026-05-08.json failures=0
",
2026-05-08,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70, ""fg3m"": 68}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-08,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=816 per_stat=68 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-08,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=9320 matched=4423 scored_all_fields=4423
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-08.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-05-09,fetch_hist_lockday,0,"========================================================================
HISTORICAL LOCK DAY — target 2026-05-09
  events list snapshot: 2026-05-09T11:00:00Z
  lock offset:          T-5 min
========================================================================
  [quota] used=32140 remaining=4967860 last_cost=1
  events at list-snapshot: 4 (after commence window filter)
  selecting first 4 of 4 events
  → event 2734c350b90f332dbece882dd10b204e Detroit Pistons @ Cleveland Cavaliers  commence=2026-05-09T19:10:00Z  lock_snap=2026-05-09T19:05:00Z
  [quota] used=32580 remaining=4967420 last_cost=440
    quotes: 8656  pairs: 2360
  → event 40c8a29efb894c4dd6bf6acc5025c9cb Oklahoma City Thunder @ Los Angeles Lakers  commence=2026-05-10T00:40:00Z  lock_snap=2026-05-10T00:35:00Z
  [quota] used=33020 remaining=4966980 last_cost=440
    quotes: 8874  pairs: 2388
  → event 878243c543236baba132ad43ae333aae New York Knicks @ Philadelphia 76ers  commence=2026-05-10T19:40:00Z  lock_snap=2026-05-10T19:35:00Z
  [quota] used=33460 remaining=4966540 last_cost=440
    quotes: 8220  pairs: 2249
  → event 77e60e525f42e8337027f550bcd2f1cc San Antonio Spurs @ Minnesota Timberwolves  commence=2026-05-10T23:40:00Z  lock_snap=2026-05-10T23:35:00Z
  [quota] used=33900 remaining=4966100 last_cost=440
    quotes: 9128  pairs: 2515

LOCK-DAY summary:
  events captured:       4
  total raw quote rows:  34878
  total paired rows:     9512
","  [quota] used=32140 remaining=4967860 last_cost=1
  [quota] used=32580 remaining=4967420 last_cost=440
  [quota] used=33020 remaining=4966980 last_cost=440
  [quota] used=33460 remaining=4966540 last_cost=440
  [quota] used=33900 remaining=4966100 last_cost=440"
2026-05-09,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70, ""fg3m"": 69}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-09_2026-05-09.json failures=0
",
2026-05-09,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70, ""fg3m"": 69}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-09,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=828 per_stat=69 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-09,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=9512 matched=4648 scored_all_fields=4648
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-09.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
