date,game_id,player_id,player_name,stat,role_bucket,line,model_prob_over,market_probability_for_side,market_prob_over_no_vig,hit_result,actual,model_mean,model_variance,model_p0,actual_minutes,odds_snapshot_family,bookmaker_key,model_event_logloss,market_event_logloss,logloss_gap
2026-05-12,20054968.0,1028028501.0,Terrence Shannon Jr.,ast,fringe,1.5,0.09266666666666667,0.4087591240875912,0.4087591240875912,1.0,4.0,0.4046666666666667,0.8035782222222222,0.755,,close_or_lock,fliff,2.3787464539596095,0.8946292350929759,1.4841172188666336
2026-05-12,20054968.0,1028028501.0,Terrence Shannon Jr.,ast,fringe,1.5,0.09266666666666667,0.4007285974499089,0.4007285974499089,1.0,4.0,0.4046666666666667,0.8035782222222222,0.755,,close_or_lock,hardrockbet,2.3787464539596095,0.9144708951571692,1.4642755588024403
2026-05-12,20054968.0,1028028501.0,Terrence Shannon Jr.,ast,fringe,1.5,0.09266666666666667,0.4007285974499089,0.4007285974499089,1.0,4.0,0.4046666666666667,0.8035782222222222,0.755,,close_or_lock,hardrockbet_az,2.3787464539596095,0.9144708951571692,1.4642755588024403
2026-05-12,20054968.0,1028028501.0,Terrence Shannon Jr.,ast,fringe,1.5,0.09266666666666667,0.4007285974499089,0.4007285974499089,1.0,4.0,0.4046666666666667,0.8035782222222222,0.755,,close_or_lock,hardrockbet_fl,2.3787464539596095,0.9144708951571692,1.4642755588024403
2026-05-06,21708674.0,172.0,Paul George,fg3m,starter,4.5,0.047796297535408296,0.19886363636363638,0.19886363636363638,1.0,5.0,2.4840000000000004,1.4556239999999998,0.04049353543776313,,hist_lockday,fanduel,3.040807099902944,1.615135933548738,1.425671166354206
2026-05-06,21708674.0,137.0,Andre Drummond,pts,fringe,4.5,0.18133333333333337,0.7402597402597403,0.7402597402597403,1.0,6.0,2.4336666666666664,11.779599888888889,0.3596666666666667,,hist_lockday,fanduel,1.707418320794304,0.3007541540191337,1.4066641667751703
2026-05-06,21708674.0,1028034846.0,Adem Bona,reb,fringe,3.5,0.13666666666666666,0.5346534653465347,0.5346534653465347,1.0,7.0,1.5930000000000006,5.7673510000000014,0.44233333333333347,,hist_lockday,betmgm,1.9902104079518934,0.626136470276985,1.3640739376749083
2026-05-06,21707973.0,1028025261.0,Stephon Castle,fg3m,core,0.5,0.933817572298584,0.7474747474747474,0.7474747474747474,0.0,0.0,2.1839999999999997,1.3890240000000003,0.06618242770141598,,hist_lockday,fanduel,2.7153402938520883,1.376244025266389,1.3390962685856993
2026-05-06,21708674.0,1028034846.0,Adem Bona,reb,fringe,3.5,0.13666666666666666,0.5,0.5,1.0,7.0,1.5930000000000006,5.7673510000000014,0.44233333333333347,,hist_lockday,betonlineag,1.9902104079518934,0.6931471805599453,1.297063227391948
2026-05-06,21708674.0,1028034846.0,Adem Bona,reb,fringe,3.5,0.13666666666666666,0.4949766918501849,0.4949766918501849,1.0,7.0,1.5930000000000006,5.7673510000000014,0.44233333333333347,,hist_lockday,williamhill_us,1.9902104079518934,0.7032446046934261,1.2869658032584672
2026-05-06,21708674.0,1028034846.0,Adem Bona,reb,fringe,3.5,0.13666666666666666,0.4940898345153664,0.4940898345153664,1.0,7.0,1.5930000000000006,5.7673510000000014,0.44233333333333347,,hist_lockday,betrivers,1.9902104079518934,0.705037927081467,1.2851724808704263
2026-05-06,21708674.0,1028034846.0,Adem Bona,reb,fringe,3.5,0.13666666666666666,0.4896023956080519,0.4896023956080519,1.0,7.0,1.5930000000000006,5.7673510000000014,0.44233333333333347,,hist_lockday,fanduel,1.9902104079518934,0.7141616548056893,1.2760487531462041
2026-05-06,21708674.0,1028034846.0,Adem Bona,reb,fringe,3.5,0.13666666666666666,0.48784883956417835,0.48784883956417835,1.0,7.0,1.5930000000000006,5.7673510000000014,0.44233333333333347,,hist_lockday,draftkings,1.9902104079518934,0.7177496761044142,1.2724607318474792
