game_date,game_id,game_start_et,team,opponent,player_id,player_name,stat,role_bucket,line,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_over_line_model,market_fair_over_prob,model_edge_vs_market,support_min,support_max,pmf_source
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,89,Alex Caruso,reb,bench,3.0,2.9168,2,1,0.133,0.867,0.6765,0.4996,0.3379,0.2219,0.1343,0.0795,0.3379,0.5021,-0.1642,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,66,Dillon Brooks,pts,core,18.5,17.4442,17,19,0.0002,0.9998,0.9887,0.9774,0.9674,0.9562,0.9388,0.9242,0.4322,0.5162,-0.084,0,80,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,66,Dillon Brooks,reb,core,4.5,4.6312,4,4,0.0152,0.9848,0.9211,0.8047,0.6632,0.4751,0.3184,0.2003,0.4751,0.5,-0.0249,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,66,Dillon Brooks,fg3m,core,2.5,1.9312,2,1,0.0958,0.9042,0.55,0.2819,0.1162,0.0431,0.0036,0.0036,0.2819,0.4402,-0.1583,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,1028036515,Oso Ighodaro,reb,rotation,6.5,5.2892,5,4,0.0156,0.9844,0.9326,0.8424,0.7119,0.5621,0.4179,0.2981,0.2981,0.4952,-0.1971,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,38017698,Mark Williams,reb,rotation,6.5,6.2898,6,6,0.0043,0.9957,0.962,0.906,0.8066,0.6877,0.5631,0.4275,0.4275,0.473,-0.0455,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,1028037477,Ajay Mitchell,reb,rotation,3.5,3.0257,3,2,0.0695,0.9305,0.7622,0.5438,0.3405,0.2043,0.1128,0.063,0.3405,0.5598,-0.2193,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,1028037477,Ajay Mitchell,ast,rotation,3.5,3.0111,3,3,0.0786,0.9214,0.7628,0.5761,0.3554,0.1976,0.1063,0.0464,0.3554,0.4639,-0.1085,0,25,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,1028037477,Ajay Mitchell,fg3m,rotation,1.5,1.1326,1,1,0.3107,0.6893,0.2975,0.0921,0.0045,0.0045,0.0045,0.0045,0.2975,0.4195,-0.122,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,351,Royce O'Neale,reb,rotation,4.5,3.3914,3,2,0.0529,0.9471,0.8158,0.6161,0.4186,0.2648,0.1566,0.0875,0.2648,0.5288,-0.264,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,201,Isaiah Hartenstein,reb,rotation,8.5,7.1685,7,7,0.0001,0.9999,0.9679,0.9268,0.8628,0.7762,0.6597,0.5475,0.3191,0.478,-0.1589,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,201,Isaiah Hartenstein,ast,rotation,2.5,2.4932,2,2,0.1305,0.8695,0.6709,0.4294,0.2458,0.1356,0.0684,0.0391,0.4294,0.5605,-0.1311,0,25,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,3547272,Isaiah Joe,fg3m,bench,1.5,2.2875,2,1,0.0178,0.9822,0.6546,0.3485,0.1563,0.0675,0.0078,0.0078,0.6546,0.5443,0.1103,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,18678058,Jordan Goodwin,fg3m,rotation,1.5,2.0115,2,1,0.0646,0.9354,0.5749,0.2903,0.1205,0.0457,0.0045,0.0045,0.5749,0.4125,0.1624,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,666541,Luguentz Dort,reb,rotation,3.5,2.3756,2,2,0.1421,0.8579,0.6314,0.4019,0.2334,0.1217,0.0652,0.0315,0.2334,0.4017,-0.1683,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,38017706,Jaylin Williams,reb,bench,3.5,4.0478,4,3,0.0666,0.9334,0.8174,0.6647,0.5081,0.3716,0.2599,0.1748,0.5081,0.4721,0.036,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,175,Shai Gilgeous-Alexander,pts,core,31.5,25.9031,26,28,0.0002,0.9998,0.9943,0.9878,0.9828,0.9771,0.9722,0.9671,0.2737,0.5141,-0.2404,0,80,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,175,Shai Gilgeous-Alexander,reb,core,4.5,4.4928,4,3,0.0182,0.9818,0.9207,0.8048,0.6339,0.4701,0.3026,0.1795,0.4701,0.4489,0.0212,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,175,Shai Gilgeous-Alexander,ast,core,7.5,6.8295,7,7,0.0001,0.9999,0.9694,0.9315,0.8713,0.7891,0.6656,0.5296,0.389,0.4457,-0.0567,0,25,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,38017685,Chet Holmgren,pts,core,16.5,13.3422,13,11,0.0002,0.9998,0.9861,0.9723,0.9504,0.9284,0.8957,0.8553,0.286,0.5011,-0.2151,0,80,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Oklahoma City Thunder,Phoenix Suns,38017685,Chet Holmgren,reb,core,8.5,7.7124,8,7,0.0001,0.9999,0.9874,0.9627,0.9168,0.8547,0.7547,0.6359,0.3774,0.5325,-0.1551,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,57,Devin Booker,pts,starter,23.5,24.7359,25,24,0.0001,0.9999,0.9954,0.9904,0.9842,0.9777,0.9722,0.9668,0.5883,0.4868,0.1015,0,80,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,57,Devin Booker,reb,starter,4.5,4.1062,4,3,0.0217,0.9783,0.9101,0.7641,0.5703,0.3851,0.2381,0.1309,0.3851,0.4675,-0.0824,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,57,Devin Booker,ast,starter,5.5,5.0573,5,4,0.0153,0.9847,0.9339,0.8471,0.7106,0.5565,0.4066,0.2632,0.4066,0.5556,-0.149,0,25,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,17895966,Jalen Green,pts,core,19.5,18.2965,18,17,0.0002,0.9998,0.9888,0.9793,0.9703,0.9607,0.9512,0.9331,0.4218,0.4884,-0.0666,0,80,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,17895966,Jalen Green,reb,core,4.5,4.7336,4,4,0.0179,0.9821,0.9144,0.8044,0.6598,0.483,0.3276,0.2265,0.483,0.5474,-0.0644,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,17895966,Jalen Green,ast,core,2.5,2.4143,2,2,0.1057,0.8943,0.6587,0.4153,0.2238,0.1112,0.054,0.0257,0.4153,0.5971,-0.1818,0,25,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,17895966,Jalen Green,fg3m,core,2.5,2.2447,2,1,0.0427,0.9573,0.6331,0.3539,0.1674,0.0706,0.0301,0.0036,0.3539,0.4391,-0.0852,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,38017727,Collin Gillespie,reb,rotation,3.5,2.8496,2,2,0.0753,0.9247,0.732,0.4992,0.3082,0.1863,0.0964,0.0496,0.3082,0.5534,-0.2452,0,30,cal_role_aware_v1
2026-04-27,21684902,2026-04-27T21:30:00-04:00,Phoenix Suns,Oklahoma City Thunder,38017727,Collin Gillespie,fg3m,rotation,2.5,1.7682,1,1,0.1339,0.8661,0.4927,0.2347,0.0925,0.0375,0.0045,0.0045,0.2347,0.3996,-0.1649,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
