stat,role_bucket,n,raw_mean_bias,repaired_mean_bias,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_market_superiority_pass,repaired_market_superiority_pass,raw_calibration_pass,repaired_calibration_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,claim_status
stl,rotation,294,-0.9145433375739245,-0.9145433375739245,12.05726190453152,0.831552331804772,0.6882365667190561,0.4769337048924826,0.3106712278022855,0.24742178308273025,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stl,starter,783,-0.8330973290911294,-0.8330973290911294,9.11480254011621,0.7114594252999673,0.6676254794779872,0.3671449365944106,0.2557342126106279,0.23738664214029792,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stocks,bench,17,-1.0588235294117647,-1.0588235294117647,4.876062549870568,4.876062549870567,0.5904970906441377,0.17647058823529413,0.1764705882352941,0.19962981629798277,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stocks,core,391,-1.7552991919763696,-1.7552991919763696,12.034788097272619,7.962094918036159,0.6875168634222228,0.46390554094068315,0.4631895169688829,0.2471899986770556,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stocks,inactive_risk,6,-0.30694791324307963,-0.30694791324307963,1.0829216325590776,1.0829216325590776,0.9009807324338165,0.4226027929103349,0.4226027929103349,0.3514020008150636,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stocks,rotation,87,-1.247730365060089,-1.247730365060089,10.930659104262451,10.930659104262444,0.6802847284536153,0.4371811220726514,0.4371811220726513,0.24399216726005346,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stocks,starter,413,-1.4539172911891463,-1.4539172911891463,10.760970187776644,10.229259760372072,0.6897037899860966,0.42816688892857585,0.4282189623974923,0.24830371425703465,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
tov,core,8,-0.9161666666666668,-0.9161666666666668,0.8221322170176194,0.8221322170176193,0.6625758091679305,0.3129828333333334,0.3129828333333333,0.23476244123051596,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
tov,inactive_risk,1,-2.5246666666666666,-2.5246666666666666,1.3983669423541598,1.3983669423541598,0.6743672859083488,0.567009,0.567009,0.24061117225578932,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
tov,starter,31,-1.108967741935484,-1.108967741935484,0.8380870047397192,0.8380870047397194,0.7024901465098004,0.31854693906810033,0.3185469390681003,0.2545973900144258,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
