player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv_proxy,grade_date
246,Nikola Jokic,18447751,Denver Nuggets @ Oklahoma City Thunder,8,pts,UNDER,27.5,-115,fanduel,0.575,0.512,0.075,0.022,27.11,"{'0.1': 19.6, '0.2': 23.17, '0.25': 23.28, '0.33': 24.67, '0.4': 26.22, '0.5': 27.11, '0.6': 27.63, '0.67': 29.36, '0.75': 30.65, '0.8': 32.19, '0.9': 36.94}",0,3,32.0,MISS,-1.0,-0.063,2026-03-09
666743,Terance Mann,18447750,Memphis Grizzlies @ Brooklyn Nets,3,pts,UNDER,8.5,-122,betway,0.5904,0.5236,0.0743,0.023,7.73,"{'0.1': 1.14, '0.2': 3.35, '0.25': 3.5, '0.33': 5.45, '0.4': 6.6, '0.5': 7.73, '0.6': 8.58, '0.67': 9.36, '0.75': 9.61, '0.8': 9.9, '0.9': 11.95}",0,2,,NO_ACTION,0.0,,2026-03-09
18,OG Anunoby,18447753,New York Knicks @ LA Clippers,20,fg3m,UNDER,2.5,-155,betparx,0.6529,0.6012,0.0741,0.029,1.86,"{'0.1': 0.05, '0.2': 0.99, '0.25': 0.99, '0.33': 1.33, '0.4': 1.86, '0.5': 1.86, '0.6': 2.22, '0.67': 2.59, '0.75': 2.85, '0.8': 4.07, '0.9': 4.92}",0,3,3.0,MISS,-1.0,-0.0517,2026-03-09
56677843,Noah Clowney,18447750,Memphis Grizzlies @ Brooklyn Nets,3,stl,UNDER,0.5,120,betway,0.4882,0.4193,0.074,0.015,0.56,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.07, '0.4': 0.07, '0.5': 0.56, '0.6': 0.95, '0.67': 0.98, '0.75': 0.98, '0.8': 1.07, '0.9': 1.87}",0,2,1.0,MISS,-1.0,-0.0689,2026-03-09
1028028993,Jaylon Tyson,18447749,Philadelphia 76ers @ Cleveland Cavaliers,6,reb,UNDER,4.5,112,betmgm,0.5052,0.4686,0.0711,0.016,4.47,"{'0.1': 1.52, '0.2': 2.44, '0.25': 2.97, '0.33': 3.01, '0.4': 3.78, '0.5': 4.47, '0.6': 5.1, '0.67': 5.34, '0.75': 6.03, '0.8': 6.36, '0.9': 7.4}",0,2,1.0,HIT,1.12,-0.0366,2026-03-09
56677834,Keyonte George,18447752,Golden State Warriors @ Utah Jazz,29,pts,OVER,23.5,100,betmgm,0.5341,0.4831,0.0682,0.017,24.21,"{'0.1': 12.63, '0.2': 18.04, '0.25': 19.56, '0.33': 20.89, '0.4': 22.14, '0.5': 24.21, '0.6': 25.06, '0.67': 26.01, '0.75': 26.97, '0.8': 26.97, '0.9': 28.14}",0,3,15.0,MISS,-1.0,0.051,2026-03-09
38017730,Dominick Barlow,18447749,Philadelphia 76ers @ Cleveland Cavaliers,23,blk,OVER,0.5,140,betmgm,0.4448,0.3887,0.0674,0.012,0.3,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.02, '0.5': 0.3, '0.6': 0.66, '0.67': 0.87, '0.75': 0.87, '0.8': 0.96, '0.9': 1.55}",0,2,1.0,HIT,1.4,0.0561,2026-03-09
57875092,Gui Santos,18447752,Golden State Warriors @ Utah Jazz,10,pts,UNDER,15.5,-110,fanduel,0.559,0.5068,0.0671,0.018,14.12,"{'0.1': 5.87, '0.2': 7.83, '0.25': 9.29, '0.33': 11.07, '0.4': 13.23, '0.5': 14.12, '0.6': 16.46, '0.67': 17.25, '0.75': 18.18, '0.8': 19.29, '0.9': 23.15}",0,3,15.0,HIT,0.9090909090909092,-0.0522,2026-03-09
795959473,Pat Spencer,18447752,Golden State Warriors @ Utah Jazz,10,fg3m,UNDER,1.5,-195,betparx,0.7031,0.6348,0.0636,0.031,0.99,"{'0.1': -0.0, '0.2': -0.0, '0.25': 0.0, '0.33': 0.16, '0.4': 0.91, '0.5': 0.99, '0.6': 1.1, '0.67': 1.22, '0.75': 1.9, '0.8': 1.97, '0.9': 2.46}",0,2,0.0,HIT,0.5128205128205128,-0.0683,2026-03-09
666541,Luguentz Dort,18447751,Denver Nuggets @ Oklahoma City Thunder,21,fg3m,OVER,1.5,-140,betmgm,0.62,0.5676,0.0628,0.022,2.05,"{'0.1': 0.0, '0.2': 0.93, '0.25': 1.0, '0.33': 1.14, '0.4': 1.65, '0.5': 2.05, '0.6': 2.05, '0.67': 2.65, '0.75': 2.8, '0.8': 3.19, '0.9': 3.93}",0,2,2.0,HIT,0.7142857142857144,0.0524,2026-03-09
