player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
666956,Coby White,18447955,Charlotte Hornets @ Minnesota Timberwolves,4,reb,OVER,2.5,-145,-145,123,betway,0.769,0.8879,0.769,global_side,0.5689,0.2001,0.2994,0.065,4.26,"{'0.1': 2.41, '0.2': 3.14, '0.25': 3.24, '0.33': 3.46, '0.4': 3.79, '0.5': 4.26, '0.6': 4.45, '0.67': 4.73, '0.75': 5.29, '0.8': 5.64, '0.9': 6.78}",0,1,0.025,global,True,False,0.0,MISS,-1.0,0.2001,0.2001,False,2026-04-05
666609,Rui Hachimura,18447958,Los Angeles Lakers @ Dallas Mavericks,14,reb,UNDER,3.5,121,-110,121,betway,0.5836,0.7512,0.5836,global_side,0.4635,0.1201,0.2897,0.036,2.81,"{'0.1': 1.66, '0.2': 1.85, '0.25': 2.03, '0.33': 2.36, '0.4': 2.39, '0.5': 2.81, '0.6': 3.07, '0.67': 3.07, '0.75': 3.5, '0.8': 3.65, '0.9': 4.38}",0,2,0.025,global,True,False,7.0,MISS,-1.0,-0.1201,-0.1201,False,2026-04-05
1028036515,Oso Ighodaro,18447952,Phoenix Suns @ Chicago Bulls,24,ast,OVER,2.5,120,120,-125,betway,0.5854,0.7215,0.5854,global_side,0.45,0.1354,0.2879,0.036,3.11,"{'0.1': 1.72, '0.2': 2.05, '0.25': 2.45, '0.33': 2.6, '0.4': 2.83, '0.5': 3.11, '0.6': 3.52, '0.67': 3.66, '0.75': 4.04, '0.8': 4.24, '0.9': 4.75}",0,3,0.025,global,True,False,2.0,MISS,-1.0,0.1354,0.1354,False,2026-04-05
3547256,Saddiq Bey,18447956,Orlando Magic @ New Orleans Pelicans,19,reb,UNDER,5.5,-109,-114,-109,fanduel,0.6697,0.8632,0.6697,global_side,0.4947,0.175,0.2841,0.046,3.82,"{'0.1': 2.05, '0.2': 2.61, '0.25': 2.7, '0.33': 3.22, '0.4': 3.3, '0.5': 3.82, '0.6': 4.08, '0.67': 4.39, '0.75': 4.82, '0.8': 5.05, '0.9': 5.76}",0,3,0.025,global,True,False,6.0,MISS,-1.0,-0.175,-0.175,False,2026-04-05
1057271583,Walter Clayton Jr.,18447953,Memphis Grizzlies @ Milwaukee Bucks,15,ast,UNDER,6.5,-113,100,-113,betway,0.6802,0.8741,0.6802,global_side,0.5148,0.1654,0.2821,0.048,4.57,"{'0.1': 2.71, '0.2': 3.33, '0.25': 3.64, '0.33': 3.83, '0.4': 4.13, '0.5': 4.57, '0.6': 5.17, '0.67': 5.42, '0.75': 5.86, '0.8': 6.02, '0.9': 6.67}",0,2,0.025,global,True,False,4.0,HIT,0.8849557522123894,-0.1654,-0.1654,False,2026-04-05
666703,John Konchar,18447957,Utah Jazz @ Oklahoma City Thunder,29,ast,UNDER,3.5,-129,100,-129,betmgm,0.7139,0.9052,0.7139,global_side,0.5298,0.1842,0.2674,0.052,2.11,"{'0.1': 1.05, '0.2': 1.4, '0.25': 1.44, '0.33': 1.54, '0.4': 1.67, '0.5': 2.11, '0.6': 2.12, '0.67': 2.5, '0.75': 2.53, '0.8': 2.9, '0.9': 3.47}",0,2,0.025,global,True,False,3.0,HIT,0.7751937984496124,-0.1841,-0.1841,False,2026-04-05
666423,RJ Barrett,18447950,Toronto Raptors @ Boston Celtics,28,pts,UNDER,19.5,-104,-105,-104,betway,0.644,0.8341,0.644,global_side,0.4988,0.1452,0.2633,0.041,15.73,"{'0.1': 9.17, '0.2': 11.38, '0.25': 11.89, '0.33': 12.99, '0.4': 14.36, '0.5': 15.73, '0.6': 17.23, '0.67': 17.56, '0.75': 17.94, '0.8': 18.15, '0.9': 22.12}",0,2,0.025,global,True,False,15.0,HIT,0.9615384615384616,-0.1452,-0.1452,False,2026-04-05
1028025344,Donovan Clingan,18447965,Portland Trail Blazers @ Denver Nuggets,25,reb,UNDER,11.5,-110,-108,-110,betparx,0.7212,0.9112,0.7212,global_side,0.5022,0.219,0.3769,0.062,9.71,"{'0.1': 6.45, '0.2': 7.27, '0.25': 7.64, '0.33': 8.21, '0.4': 9.13, '0.5': 9.71, '0.6': 10.17, '0.67': 10.37, '0.75': 10.37, '0.8': 11.03, '0.9': 11.45}",0,2,0.025,global,True,False,12.0,MISS,-1.0,-0.219,-0.219,False,2026-04-06
3547254,Tyrese Maxey,18447964,Philadelphia 76ers @ San Antonio Spurs,23,ast,UNDER,7.5,-132,114,-132,fanduel,0.7481,0.9311,0.7481,global_side,0.5491,0.1991,0.3149,0.062,5.33,"{'0.1': 3.28, '0.2': 4.01, '0.25': 4.08, '0.33': 4.67, '0.4': 4.99, '0.5': 5.33, '0.6': 5.82, '0.67': 6.04, '0.75': 6.44, '0.8': 6.52, '0.9': 7.27}",0,3,0.025,global,True,False,8.0,MISS,-1.0,-0.199,-0.199,False,2026-04-06
56677822,Victor Wembanyama,18447964,Philadelphia 76ers @ San Antonio Spurs,27,ast,OVER,3.5,120,120,-143,betrivers,0.5859,0.722,0.5859,global_side,0.4358,0.1501,0.2889,0.036,4.82,"{'0.1': 2.49, '0.2': 3.04, '0.25': 3.33, '0.33': 3.81, '0.4': 4.15, '0.5': 4.82, '0.6': 5.23, '0.67': 5.57, '0.75': 6.0, '0.8': 6.31, '0.9': 6.79}",0,3,0.025,global,True,False,1.0,MISS,-1.0,0.1501,0.1501,False,2026-04-06
1028028244,Zaccharie Risacher,18447961,New York Knicks @ Atlanta Hawks,1,reb,OVER,2.5,120,120,-146,betparx,0.5853,0.7214,0.5853,global_side,0.4337,0.1516,0.2877,0.036,3.65,"{'0.1': 1.87, '0.2': 2.22, '0.25': 2.39, '0.33': 2.7, '0.4': 3.06, '0.5': 3.65, '0.6': 3.81, '0.67': 4.06, '0.75': 4.6, '0.8': 4.6, '0.9': 5.0}",0,1,0.025,global,True,False,2.0,MISS,-1.0,0.1516,0.1516,False,2026-04-06
246,Nikola Jokic,18447965,Portland Trail Blazers @ Denver Nuggets,8,pts,UNDER,27.5,-115,-103,-115,draftkings,0.6804,0.8743,0.6804,global_side,0.5132,0.1673,0.2721,0.047,21.48,"{'0.1': 15.47, '0.2': 17.16, '0.25': 17.9, '0.33': 19.04, '0.4': 20.53, '0.5': 21.48, '0.6': 23.45, '0.67': 23.69, '0.75': 25.04, '0.8': 26.49, '0.9': 27.85}",0,3,0.025,global,True,False,35.0,MISS,-1.0,-0.1672,-0.1672,False,2026-04-06
335,Jamal Murray,18447965,Portland Trail Blazers @ Denver Nuggets,8,pts,UNDER,24.5,-102,-105,-102,betmgm,0.6316,0.8187,0.6316,global_side,0.4964,0.1352,0.2509,0.038,18.2,"{'0.1': 14.16, '0.2': 14.89, '0.25': 15.56, '0.33': 16.69, '0.4': 17.9, '0.5': 18.2, '0.6': 20.54, '0.67': 21.63, '0.75': 22.95, '0.8': 24.02, '0.9': 26.58}",0,3,0.025,global,True,False,20.0,HIT,0.9803921568627452,-0.1352,-0.1352,False,2026-04-06
