game_date,player_name,team,opponent,stat,line,outcome_k,probability,cdf,survival_prob_ge_k,p_over_line_model,market_fair_over_prob,model_edge_vs_market,pmf_source
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,16,0.0005,0.9997,0.0008,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,17,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,18,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,19,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,20,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,21,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,22,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,23,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,24,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,25,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,26,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,27,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,28,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,29,0.0,0.9997,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,30,0.0003,1.0,0.0003,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,0,0.0352,0.0352,1.0,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,1,0.0976,0.1329,0.9648,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,2,0.1486,0.2815,0.8671,0.3667,0.5455,-0.1788,cal_role_aware_v1
