stat,role_bucket,n,raw_model_logloss,active_model_logloss,market_logloss,raw_model_brier,active_model_brier,market_brier,delta_logloss_active_vs_market,delta_brier_active_vs_market,event_neutral_applied_count,pmf_mean_shift_applied_count,mean_bias_before,mean_bias_after,calibration_pass,model_better_calibrated,market_superiority_pass,bootstrap_ci_pass,strict_claimable,remaining_primary_blocker,remaining_secondary_blockers,next_repair_family,do_not_claim_reason,market_superiority_eligible,ledger_dominant_failure
ast,fringe,35,1.288789265417699,1.288789265417699,0.6363971572140835,0.46654505396825396,0.46654505396825396,0.22465799106578413,0.6523921082036154,0.24188706290246983,0,0,-1.280619047619048,-1.280619047619048,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
ast,inactive_risk,77,0.3999034671633481,0.3999034671633481,0.6626194152684175,0.1237114458874459,0.1237114458874459,0.23540636657663253,-0.2627159481050694,-0.11169492068918663,0,0,-0.3284069264069267,-0.3284069264069267,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
ast,rotation,776,0.7201502145626598,0.7201502145626598,0.6513539722823196,0.26169390349369986,0.26169390349369986,0.22987400437915834,0.0687962422803402,0.03181989911454153,776,0,-0.3461142611683849,-0.3461142611683849,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
ast,starter,2616,0.6650010476891094,0.6650010476891094,0.6564157246148198,0.2363532167006456,0.2363532167006456,0.2323488852885035,0.008585323074289608,0.004004331412142098,0,0,-0.461302624872579,-0.461302624872579,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,mean_too_low
ast,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
fg3m,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
fg3m,bench,495,0.7397669328987023,0.6197439452006805,0.6475961143245819,0.22812865170681268,0.20731020335598987,0.22826850912800015,-0.027852169123901316,-0.02095830577201027,495,0,0.25038548808080807,0.25038548808080807,False,False,True,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,calibration_fail|bootstrap_math_fail,True,model_prob_too_high_or_overconfident_side
fg3m,core,2021,0.708822898505005,0.6620972473213936,0.6435055053506005,0.23650235016791854,0.23360749531506134,0.22653571642623677,0.018591741970793163,0.00707177888882457,2021,0,-0.07152398218703612,-0.07152398218703612,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
fg3m,fringe,49,1.2640419624688213,1.2640419624688213,0.6493708579437288,0.27034291749943967,0.27034291749943967,0.2277522395793369,0.6146711045250924,0.042590677920102765,0,0,-0.14765013877551011,-0.14765013877551011,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
fg3m,inactive_risk,75,0.5737929826755123,0.5737929826755123,0.6481246821299905,0.20317546352621485,0.20317546352621485,0.22878946651334076,-0.07433169945447826,-0.025614002987125906,0,0,-0.5660666666666662,-0.5660666666666662,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
